url,title,seendate,domain,language,sourcecountry,headline_mention,outlet_type
https://www.sfchronicle.com/opinion/editorials/article/Endorsement-Chesa-Boudin-recall-17119923.php,Endorsement : Chesa Boudin is many things . Incompetent isnt one of them . Vote no on recall,20220423T150000Z,sfchronicle.com,English,United States,True,local
https://www.washingtonexaminer.com/restoring-america/fairness-justice/los-angeles-progressives-are-being-mugged-by-reality,Los Angeles progressives are being mugged by reality,20220419T174500Z,washingtonexaminer.com,English,United States,False,unclassified
https://cnsnews.com/commentary/thomas-hogan/more-progressive-prosecutors-way,More Progressive Prosecutors On the Way ? ,20220419T220000Z,cnsnews.com,English,United States,False,unclassified
https://www.cnsnews.com/commentary/thomas-hogan/more-progressive-prosecutors-way,More Progressive Prosecutors On the Way ? ,20220419T214500Z,cnsnews.com,English,United States,False,unclassified
https://cnsnews.com/index.php/commentary/thomas-hogan/more-progressive-prosecutors-way,More Progressive Prosecutors On the Way ? ,20220420T163000Z,cnsnews.com,English,United States,False,unclassified
https://www.city-journal.org:443/another-wave-of-progressive-prosecutors-may-be-coming,Another Wave of Progressive Prosecutors May Be Coming,20220419T173000Z,city-journal.org,English,United States,False,unclassified
http://www.ruthfullyyours.com/2022/04/19/a-new-wave-of-left-wing-advocates-aims-to-take-over-district-attorneys-offices-in-small-cities-thomas-hogan/,A new wave of left - wing advocates aims to take over district attorney offices in small cities . Thomas Hogan,20220419T231500Z,ruthfullyyours.com,English,United States,False,unclassified
https://www.sfchronicle.com/sf/article/chesa-boudin-17120659.php,The online caricature of Chesa Boudin doesnt fit reality,20220424T151500Z,sfchronicle.com,English,United States,True,local
https://www.ktvu.com/news/san-francisco-supervisor-haney-wins-assembly-election,San Francisco Supervisor Haney wins Assembly election,20220420T064500Z,ktvu.com,English,United States,False,local
https://petapixel.com/2022/04/24/how-to-fight-san-franciscos-theft-epidemic/,How to Fight San Francisco Theft Epidemic,20220424T154500Z,petapixel.com,English,United States,False,unclassified
