date,chesa_boudin_matches,chesa_boudin_pct_of_us,chesa_boudin_pct_of_global,boudin_recall_matches,boudin_recall_pct_of_us,boudin_recall_pct_of_global,us_total_monitored,global_norm
20210908T000000Z,7,0.007513,0.001873,3,0.00322,0.000803,93177,373728
20210909T000000Z,4,0.004261,0.001071,1,0.001065,0.000268,93878,373589
20210910T000000Z,4,0.004593,0.001119,0,0.0,0.0,87089,357553
20210911T000000Z,3,0.005973,0.001304,1,0.001991,0.000435,50228,230006
20210912T000000Z,0,0.0,0.0,0,0.0,0.0,37851,206056
20210913T000000Z,3,0.003702,0.000851,1,0.001234,0.000284,81046,352376
20210914T000000Z,4,0.004102,0.001041,1,0.001026,0.00026,97505,384076
20210915T000000Z,1,0.001032,0.00026,0,0.0,0.0,96873,384744
20210916T000000Z,4,0.004287,0.001059,3,0.003215,0.000794,93309,377865
20210917T000000Z,4,0.004632,0.001113,2,0.002316,0.000557,86365,359295
20210918T000000Z,0,0.0,0.0,0,0.0,0.0,50602,236146
20210919T000000Z,0,0.0,0.0,0,0.0,0.0,39157,207134
20210920T000000Z,2,0.002473,0.000595,0,0.0,0.0,80872,336223
20210921T000000Z,1,0.001096,0.000277,0,0.0,0.0,91203,361118
20210922T000000Z,2,0.002057,0.000524,0,0.0,0.0,97227,381335
20210923T000000Z,1,0.001071,0.000262,0,0.0,0.0,93405,381061
20210924T000000Z,4,0.004636,0.001116,2,0.002318,0.000558,86284,358355
20210925T000000Z,4,0.007699,0.001647,3,0.005774,0.001236,51956,242816
20210926T000000Z,1,0.002014,0.000392,2,0.004028,0.000784,49650,255235
20210927T000000Z,7,0.007828,0.001822,1,0.001118,0.00026,89421,384149
20210928T000000Z,5,0.004859,0.001236,1,0.000972,0.000247,102911,404663
20210929T000000Z,24,0.02334,0.005939,0,0.0,0.0,102829,404109
20210930T000000Z,10,0.009865,0.002488,6,0.005919,0.001493,101366,401875
20211001T000000Z,2,0.002091,0.000543,0,0.0,0.0,95650,368440
20211002T000000Z,3,0.005489,0.001262,0,0.0,0.0,54655,237694
20211003T000000Z,1,0.002566,0.000469,0,0.0,0.0,38967,213071
20211004T000000Z,1,0.001214,0.000284,0,0.0,0.0,82395,351991
20211005T000000Z,1,0.001035,0.000262,0,0.0,0.0,96646,381070
20211006T000000Z,1,0.00101,0.000262,0,0.0,0.0,98996,381803
20211007T000000Z,1,0.001029,0.000261,0,0.0,0.0,97219,382699
20211008T000000Z,55,0.060613,0.014939,0,0.0,0.0,90740,368163
20211009T000000Z,4,0.00818,0.001694,0,0.0,0.0,48901,236194
20211010T000000Z,3,0.007631,0.001455,2,0.005087,0.00097,39313,206244
20211011T000000Z,0,0.0,0.0,0,0.0,0.0,75660,336346
20211012T000000Z,3,0.003197,0.000799,1,0.001066,0.000266,93831,375436
20211013T000000Z,13,0.01308,0.003383,1,0.001006,0.00026,99392,384284
20211014T000000Z,11,0.011397,0.002891,0,0.0,0.0,96520,380497
20211015T000000Z,4,0.004566,0.001121,4,0.004566,0.001121,87602,356676
20211016T000000Z,1,0.00213,0.000463,1,0.00213,0.000463,46939,215792
20211017T000000Z,0,0.0,0.0,0,0.0,0.0,36910,192232
20211018T000000Z,1,0.001288,0.000291,1,0.001288,0.000291,77617,343989
20211019T000000Z,2,0.002113,0.000527,2,0.002113,0.000527,94650,379717
20211020T000000Z,1,0.001008,0.000259,1,0.001008,0.000259,99173,385492
20211021T000000Z,7,0.00716,0.001807,3,0.003069,0.000774,97766,387433
20211022T000000Z,6,0.00648,0.001632,3,0.00324,0.000816,92592,367549
20211023T000000Z,5,0.010034,0.002222,3,0.00602,0.001333,49832,225010
20211024T000000Z,3,0.008051,0.001525,3,0.008051,0.001525,37264,196661
20211025T000000Z,16,0.020082,0.004617,16,0.020082,0.004617,79675,346567
20211026T000000Z,74,0.080128,0.019675,17,0.018408,0.00452,92352,376112
20211027T000000Z,27,0.028362,0.007055,1,0.00105,0.000261,95197,382700
20211028T000000Z,5,0.005245,0.001309,1,0.001049,0.000262,95329,381980
20211029T000000Z,7,0.007642,0.001913,2,0.002183,0.000547,91601,365897
20211030T000000Z,3,0.005811,0.001308,2,0.003874,0.000872,51629,229379
20211031T000000Z,4,0.009641,0.001873,2,0.004821,0.000937,41489,213512
20211101T000000Z,6,0.007451,0.001832,3,0.003725,0.000916,80528,327454
20211102T000000Z,17,0.017839,0.004583,2,0.002099,0.000539,95299,370917
20211103T000000Z,22,0.021872,0.005714,15,0.014913,0.003896,100583,385006
20211104T000000Z,3,0.003122,0.0008,1,0.001041,0.000267,96107,374907
20211105T000000Z,10,0.011233,0.002815,5,0.005616,0.001407,89027,355295
20211106T000000Z,4,0.007912,0.00174,1,0.001978,0.000435,50559,229828
20211107T000000Z,10,0.027701,0.0051,4,0.01108,0.00204,36100,196085
20211108T000000Z,3,0.003895,0.000859,1,0.001298,0.000286,77024,349188
20211109T000000Z,9,0.009488,0.002363,6,0.006325,0.001575,94858,380940
20211110T000000Z,44,0.044931,0.011402,65,0.066375,0.016845,97929,385882
20211111T000000Z,7,0.007259,0.00184,6,0.006222,0.001577,96437,380531
20211112T000000Z,3,0.003086,0.000821,3,0.003086,0.000821,97216,365443
20211113T000000Z,5,0.009561,0.00221,4,0.007649,0.001768,52296,226276
20211114T000000Z,3,0.007956,0.001471,2,0.005304,0.000981,37707,203937
20211115T000000Z,4,0.005142,0.001153,0,0.0,0.0,77788,346856
20211116T000000Z,6,0.006498,0.001601,2,0.002166,0.000534,92339,374798
20211117T000000Z,6,0.006241,0.001579,1,0.00104,0.000263,96141,380060
20211118T000000Z,25,0.026375,0.006555,18,0.01899,0.004719,94785,381398
20211119T000000Z,6,0.006581,0.001645,5,0.005484,0.001371,91168,364689
20211120T000000Z,2,0.00413,0.000918,0,0.0,0.0,48427,217797
20211121T000000Z,2,0.00561,0.00103,0,0.0,0.0,35650,194220
20211122T000000Z,21,0.026287,0.005995,9,0.011266,0.002569,79888,350291
20211123T000000Z,25,0.02758,0.006668,7,0.007722,0.001867,90647,374933
20211124T000000Z,72,0.082288,0.019008,11,0.012572,0.002904,87498,378786
20211125T000000Z,83,0.147095,0.023952,67,0.11874,0.019335,56426,346524
20211126T000000Z,18,0.033369,0.005475,1,0.001854,0.000304,53943,328773
20211127T000000Z,9,0.022534,0.004135,2,0.005008,0.000919,39940,217641
20211128T000000Z,5,0.014452,0.002505,3,0.008671,0.001503,34597,199566
20211129T000000Z,12,0.016187,0.003469,4,0.005396,0.001156,74134,345904
20211130T000000Z,17,0.01852,0.0045,11,0.011983,0.002911,91794,377814
20211201T000000Z,16,0.016642,0.004169,5,0.005201,0.001303,96140,383753
20211202T000000Z,61,0.063762,0.015881,12,0.012543,0.003124,95669,384100
20211203T000000Z,93,0.105772,0.025878,4,0.004549,0.001113,87925,359381
20211204T000000Z,57,0.115666,0.025284,1,0.002029,0.000444,49280,225440
20211205T000000Z,18,0.047457,0.008897,4,0.010546,0.001977,37929,202306
20211206T000000Z,65,0.085963,0.019155,62,0.081995,0.018271,75614,339338
20211207T000000Z,12,0.013757,0.003265,5,0.005732,0.00136,87227,367530
20211208T000000Z,9,0.009688,0.002447,2,0.002153,0.000544,92897,367730
20211209T000000Z,4,0.004308,0.00105,2,0.002154,0.000525,92849,381101
20211210T000000Z,9,0.010035,0.002474,4,0.00446,0.001099,89686,363839
20211211T000000Z,135,0.258334,0.057985,132,0.252593,0.056696,52258,232820
20211212T000000Z,105,0.277557,0.05151,99,0.261697,0.048567,37830,203844
20211213T000000Z,16,0.022019,0.00472,3,0.004128,0.000885,72666,338988
20211214T000000Z,5,0.005609,0.001343,2,0.002243,0.000537,89147,372356
20211215T000000Z,20,0.021258,0.005227,8,0.008503,0.002091,94081,382594
20211216T000000Z,11,0.012074,0.002925,7,0.007683,0.001861,91105,376083
20211217T000000Z,10,0.011411,0.002765,7,0.007988,0.001936,87636,361627
20211218T000000Z,8,0.016592,0.003555,4,0.008296,0.001778,48215,225028
20211219T000000Z,5,0.014132,0.002546,3,0.008479,0.001528,35380,196389
20211220T000000Z,10,0.013819,0.002987,7,0.009673,0.002091,72363,334764
20211221T000000Z,67,0.079148,0.018576,82,0.096867,0.022735,84652,360679
20211222T000000Z,12,0.014655,0.003417,4,0.004885,0.001139,81882,351147
20211223T000000Z,34,0.044396,0.010047,4,0.005223,0.001182,76584,338407
20211224T000000Z,115,0.218424,0.043066,0,0.0,0.0,52650,267031
20211225T000000Z,5,0.021323,0.003407,2,0.008529,0.001363,23449,146777
20211226T000000Z,5,0.017895,0.002961,2,0.007158,0.001184,27941,168868
